epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9612,1.21331,2.8177,1.34866,0.00333,1,0.87887,0.50548,1.15246,3.12199,1.30334,0.0001,0.0001,0.0001
2,25.423,1.25104,1.91253,1.31367,1,0.6068,0.97659,0.61633,1.08761,2.55202,1.2548,0.000215644,0.000215644,0.000215644
3,37.4277,1.19575,1.66351,1.27452,1,0.68226,0.96773,0.60409,1.18221,2.52667,1.243,0.000326536,0.000326536,0.000326536
4,49.6358,1.4531,1.4821,1.44676,0.01524,1,0.90318,0.54622,1.17599,2.78387,1.28988,0.000432676,0.000432676,0.000432676
5,60.5557,1.21061,1.62014,1.2561,0.00891,1,0.93179,0.57391,1.13812,2.86063,1.28544,0.000534064,0.000534064,0.000534064
6,71.2395,1.11649,1.54527,1.18155,0.87325,0.68925,0.89068,0.50182,1.26884,2.6051,1.41899,0.0006307,0.0006307,0.0006307
7,81.305,1.20841,1.5129,1.37414,1,0.71384,0.9328,0.51451,1.4095,2.55383,1.45223,0.000722584,0.000722584,0.000722584
8,91.3417,1.24368,1.50821,1.40952,0.96165,0.83586,0.97664,0.57704,1.34361,2.34377,1.43099,0.000809716,0.000809716,0.000809716
9,101.135,1.23569,1.30333,1.22169,0.89924,0.89261,0.93849,0.4275,1.60332,2.06541,1.69055,0.000892096,0.000892096,0.000892096
10,110.971,1.2637,1.44006,1.26254,0.92033,0.77025,0.93839,0.51413,1.29892,2.54322,1.43405,0.000969724,0.000969724,0.000969724
11,120.879,1.29625,1.32479,1.29822,0.90582,0.8,0.88839,0.46999,1.44585,2.3125,1.50882,0.0010426,0.0010426,0.0010426
12,130.857,1.15867,1.30352,1.30384,0.73669,0.74636,0.86236,0.46455,1.45751,2.14082,1.55315,0.00111072,0.00111072,0.00111072
13,140.673,1.2654,1.421,1.30991,0.82127,0.66667,0.8194,0.39998,1.64016,2.44196,1.69902,0.0011741,0.0011741,0.0011741
14,150.505,1.33374,1.50097,1.36979,1,0.86706,0.95992,0.56024,1.29316,2.08994,1.40182,0.00123272,0.00123272,0.00123272
15,160.358,1.32913,1.49358,1.27892,0.84435,0.83333,0.92468,0.53262,1.2883,2.0133,1.40347,0.00128658,0.00128658,0.00128658
16,170.267,1.22012,1.28264,1.25164,0.97824,0.9,0.96509,0.5637,1.33285,1.66207,1.46788,0.0013357,0.0013357,0.0013357
17,180.197,1.18179,1.09924,1.30509,0.87275,0.91477,0.94823,0.50624,1.45184,1.80291,1.64424,0.0013664,0.0013664,0.0013664
18,190.021,1.28363,1.10006,1.2966,0.93097,1,0.98539,0.60696,1.26411,1.64023,1.34248,0.0013268,0.0013268,0.0013268
19,199.927,1.07336,1.08003,1.22414,0.9673,0.98624,0.99177,0.6261,1.22536,1.55888,1.24863,0.0012872,0.0012872,0.0012872
20,210.145,1.27981,1.09042,1.29157,0.94684,0.96667,0.99079,0.59589,1.21888,1.6581,1.28592,0.0012476,0.0012476,0.0012476
21,220.098,1.32264,1.14333,1.32718,0.936,0.97519,0.99079,0.67744,1.0575,1.7086,1.21693,0.001208,0.001208,0.001208
