epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8503,1.2905,2.91905,1.38437,0.00333,1,0.75613,0.41342,1.19515,3.19264,1.45149,8e-05,8e-05,8e-05
2,20.1004,1.22517,2.24283,1.31061,0.00333,1,0.96333,0.54022,1.17977,2.94167,1.38119,0.000176436,0.000176436,0.000176436
3,29.7258,1.2438,1.49608,1.30323,1,0.3686,0.91039,0.47325,1.32254,2.76194,1.4594,0.000268912,0.000268912,0.000268912
4,39.4449,1.21784,1.52578,1.27598,0.00766,1,0.92882,0.50361,1.31695,2.86249,1.43089,0.000357428,0.000357428,0.000357428
5,48.5649,1.20489,1.49958,1.34167,0.48567,1,0.97842,0.56886,1.15085,2.87254,1.29327,0.000441984,0.000441984,0.000441984
6,58.0436,1.12945,1.56744,1.2443,1,0.28504,0.95417,0.58637,1.11357,2.72714,1.27754,0.00052258,0.00052258,0.00052258
7,66.7442,1.27774,1.46822,1.36869,1,0.55536,0.90569,0.5295,1.21058,2.60445,1.30621,0.000599216,0.000599216,0.000599216
8,74.9696,1.26413,1.38021,1.30723,1,0.52864,0.87975,0.49877,1.24423,2.60455,1.37726,0.000671892,0.000671892,0.000671892
9,83.197,1.20328,1.30925,1.28499,0.91535,0.63684,0.89748,0.54553,1.39199,2.52212,1.53259,0.000740608,0.000740608,0.000740608
10,91.4062,1.14502,1.23334,1.22241,0.91502,0.76471,0.94571,0.52761,1.36534,2.38916,1.55397,0.000805364,0.000805364,0.000805364
11,99.5311,1.21543,1.29285,1.22894,0.88747,0.92837,0.96447,0.59472,1.25786,2.3171,1.44539,0.00086616,0.00086616,0.00086616
12,107.78,1.10241,1.2517,1.23119,0.97579,0.94118,0.9875,0.56868,1.32276,2.14188,1.50378,0.000922996,0.000922996,0.000922996
13,115.988,1.23906,1.37708,1.31275,1,0.92385,0.97648,0.55003,1.35833,2.05485,1.55471,0.000975872,0.000975872,0.000975872
14,124.47,1.16228,1.2586,1.21717,0.87086,0.79433,0.87303,0.36837,1.77751,2.20689,2.09613,0.00102479,0.00102479,0.00102479
15,132.859,1.1743,1.2247,1.30419,0.88888,0.94106,0.95333,0.50595,1.30119,1.90787,1.54182,0.00106974,0.00106974,0.00106974
16,141.646,1.18234,1.18059,1.2142,0.88658,0.92039,0.97592,0.54928,1.34416,1.88634,1.71589,0.00111074,0.00111074,0.00111074
17,150.524,1.09059,1.14089,1.2211,0.79752,1,0.92875,0.50785,1.46859,1.85848,1.76532,0.00114778,0.00114778,0.00114778
18,159.631,1.26267,1.29066,1.31712,0.80846,0.99342,0.8731,0.33798,1.73513,2.19622,2.10899,0.00118085,0.00118085,0.00118085
19,168.903,1.1073,1.11055,1.17013,0.87829,0.94118,0.94958,0.43777,1.58477,1.96768,1.93202,0.00120997,0.00120997,0.00120997
20,178.218,1.16834,1.2423,1.28602,0.72174,1,0.93765,0.48392,1.49604,1.79979,1.58809,0.00123512,0.00123512,0.00123512
21,187.488,1.08484,1.08988,1.21853,0.81626,0.76471,0.91854,0.47669,1.51717,1.84489,1.64657,0.001208,0.001208,0.001208
22,197.191,1.03461,0.99694,1.17996,0.84142,1,0.97592,0.55848,1.36968,1.82077,1.58386,0.0011684,0.0011684,0.0011684
23,207.26,1.04326,1.03306,1.20851,0.73099,0.82353,0.82972,0.53347,1.32756,1.73609,1.52834,0.0011288,0.0011288,0.0011288
24,219.407,0.96329,1.02163,1.12502,0.9968,0.94118,0.979,0.54509,1.44545,1.62628,1.60663,0.0010892,0.0010892,0.0010892
25,229.409,1.05066,1.0629,1.2099,0.94656,0.88235,0.98342,0.56459,1.40012,1.51087,1.57554,0.0010496,0.0010496,0.0010496
26,241.811,1.04624,1.02934,1.17448,0.88161,1,0.97711,0.57018,1.26487,1.56288,1.48977,0.00101,0.00101,0.00101
27,254.876,1.02951,0.99841,1.21465,0.89243,0.97675,0.97592,0.54489,1.34333,1.55517,1.50051,0.0009704,0.0009704,0.0009704
28,266.834,1.06365,0.97797,1.12761,0.98769,0.94118,0.98364,0.50662,1.60696,1.38737,1.71573,0.0009308,0.0009308,0.0009308
29,278.768,0.99048,0.92289,1.1347,0.93226,0.94118,0.97295,0.54187,1.48152,1.26526,1.60053,0.0008912,0.0008912,0.0008912
30,290.548,1.11268,0.9427,1.21422,0.96934,0.88235,0.97881,0.58051,1.31144,1.20701,1.45075,0.0008516,0.0008516,0.0008516
31,302.41,0.99108,0.90424,1.10455,0.94397,0.9914,0.99222,0.58417,1.30692,1.18574,1.47117,0.000812,0.000812,0.000812
32,314.667,0.98245,0.8604,1.165,0.93962,1,0.98889,0.54127,1.52899,1.1703,1.63523,0.0007724,0.0007724,0.0007724
33,326.679,0.93534,0.87911,1.14897,0.93759,1,0.99222,0.52681,1.55335,1.19217,1.6368,0.0007328,0.0007328,0.0007328
34,338.293,0.97559,0.87928,1.11229,0.88754,1,0.98268,0.56213,1.46887,1.19044,1.59465,0.0006932,0.0006932,0.0006932
35,349.756,0.83528,0.77766,1.06528,0.93991,1,0.99222,0.59598,1.45002,1.2138,1.60235,0.0006536,0.0006536,0.0006536
36,359.545,0.82095,0.74826,1.07212,0.99653,1,0.995,0.57772,1.41245,1.20167,1.59336,0.000614,0.000614,0.000614
37,369.55,0.92718,0.85318,1.10795,0.99692,1,0.995,0.60288,1.42259,1.15855,1.57178,0.0005744,0.0005744,0.0005744
38,381.462,0.94376,0.84202,1.10673,1,0.99251,0.995,0.58385,1.48643,1.15449,1.64219,0.0005348,0.0005348,0.0005348
39,392.987,0.88543,0.79051,1.0823,0.94026,1,0.99222,0.59895,1.52792,1.13433,1.70318,0.0004952,0.0004952,0.0004952
40,404.755,0.90358,0.79582,1.06808,0.98948,1,0.995,0.64323,1.30945,1.00294,1.50387,0.0004556,0.0004556,0.0004556
41,415.93,0.78309,0.97143,1.0862,0.99289,1,0.995,0.66358,1.21129,1.00809,1.43811,0.000416,0.000416,0.000416
42,428.45,0.76989,0.90062,1.05946,0.99322,1,0.995,0.65385,1.20332,0.99016,1.43535,0.0003764,0.0003764,0.0003764
43,440.018,0.83575,0.93448,1.01274,0.99277,1,0.995,0.64817,1.21158,1.0239,1.42944,0.0003368,0.0003368,0.0003368
44,451.999,0.76544,0.92661,0.98694,0.99029,1,0.995,0.66863,1.26809,1.0182,1.456,0.0002972,0.0002972,0.0002972
45,464.528,0.71682,0.89445,1.10777,0.9911,1,0.995,0.62064,1.32851,0.99729,1.48295,0.0002576,0.0002576,0.0002576
46,477.192,0.71866,0.85199,1.03317,0.9917,1,0.995,0.61317,1.35062,0.96898,1.50331,0.000218,0.000218,0.000218
47,488.413,0.69105,0.83248,1.0326,0.99064,1,0.995,0.62278,1.3413,0.9575,1.49445,0.0001784,0.0001784,0.0001784
48,499.208,0.69697,0.82481,1.02057,0.9916,1,0.995,0.65085,1.26593,0.91505,1.435,0.0001388,0.0001388,0.0001388
49,510.212,0.7324,0.78481,0.99044,0.99098,1,0.995,0.65813,1.23926,0.9123,1.40785,9.92e-05,9.92e-05,9.92e-05
50,521.157,0.60893,0.75639,0.97914,0.98982,1,0.995,0.65175,1.22718,0.92312,1.38831,5.96e-05,5.96e-05,5.96e-05
